"","Region","Life_expectancy","Adult_mortality","Hepatitis_B","Incidents_HIV","GDP_per_capita","Economy_status_Developed"
"1","Middle East",76.5,105.824,97,0.08,11006,0
"2","European Union",82.8,57.9025,97,0.09,25742,1
"3","Asia",65.4,201.0765,60,0.13,1076,0
"4","South America",67,222.1965,93,0.79,4146,0
"5","Middle East",81.7,57.951,97,0.08,33995,1
"6","Central America and Caribbean",78.2,95.22,88,0.16,9110,0
"7","Rest of Europe",71.2,223,97,0.08,9313,0
"8","European Union",71.2,192.969,88,0.08,8971,1
"9","Middle East",71.9,129.764,97,0.13,3708,0
"10","Rest of Europe",68.7,217.857,97,0.43,2235,0
"11","South America",74.2,150.2245,96,0.24,9057,0
"12","European Union",79.8,58.0185,82,0.08,19338,1
"13","Central America and Caribbean",72.3,165.538,95,0.46,32027,0
"14","Rest of Europe",68.3,261.6095,48,0.55,1660,0
"15","Rest of Europe",81.5,63.2435,88,0.08,79368,1
"16","Rest of Europe",78.8,80.4955,88,0.03,68489,1
"17","European Union",81,76.567,88,0.08,43045,1
"18","Africa",60.7,255.8815,75,0.02,1166,0
"19","Asia",81.9,68.768,83,0.17,33099,1
"20","Africa",62.9,256.88,82,1.57,7181,0
"21","Africa",61.4,257.0865,91,0.93,1580,0
"22","Asia",68.8,214.2685,45,0.01,1847,0
"23","Africa",53.8,406.702,71,2.23,2072,0
"24","Africa",63.8,237.6755,73,0.15,464,0
"25","European Union",71.9,194.0975,90,0.08,13283,1
"26","Central America and Caribbean",73.5,179.144,95,0.39,4667,0
"27","Asia",66.2,270.9885,99,0.08,7838,0
"28","Africa",57.6,340.1265,84,1.12,1383,0
"29","Middle East",72.8,121.011,98,0.13,4516,0
"30","Africa",48.4,551.9115,73,7.31,941,0
"31","Asia",65.3,253.2655,95,0.19,1489,0
"32","Rest of Europe",82.2,56.9105,88,0.06,82027,1
"33","Africa",53.8,515.718,83,11.13,5827,0
"34","Middle East",73.7,113.2855,98,0.13,4387,0
"35","Africa",63.2,274.029,94,0.18,699,0
"36","European Union",80,77.604,88,0.03,37761,1
"37","Middle East",74.5,89.12,98,0.13,20328,0
"38","Oceania",64.2,214.7745,67,0.17,1488,0
"39","Africa",72.7,154.4505,99,3.5,13664,0
"40","Africa",64.3,232.446,68,0.18,465,0
"41","Asia",82.5,52.393,96,0.08,54683,0
"42","Africa",56.2,318.7475,82,1.45,456,0
"43","European Union",78.6,85.8135,88,0.04,50457,1
"44","Africa",60.9,261.7065,97,0.96,661,0
"45","Central America and Caribbean",79.4,87.237,91,0.19,11355,0
"46","Central America and Caribbean",72.1,181.584,96,0.37,4768,0
"47","European Union",81.5,57.492,61,0.08,48370,1
"48","European Union",81.5,65.815,98,0.08,44245,1
"49","Asia",70,183.8625,96,0.14,994,0
"50","Central America and Caribbean",72.6,143.8315,97,0.4,8067,0
"51","Asia",74.7,91.9455,96,0.1,33437,0
"52","European Union",80.2,75.948,95,0.09,22839,1
"53","Rest of Europe",81,64.862,88,0.04,72427,1
"54","South America",76,116.762,95,0.2,10575,0
"55","European Union",75.8,109.298,96,0.02,11960,1
"56","European Union",72.6,151.8615,97,0.04,8280,1
"57","Africa",48,463.613,47,1.78,550,0
"58","Africa",76.1,95.8155,95,0.05,4178,0
"59","Middle East",65.8,231.9445,69,0.03,2311,0
"60","Rest of Europe",73.1,139.3615,93,0.08,2884,0
"61","Africa",43.1,686.639,68,9.75,1212,0
"62","Central America and Caribbean",71.1,179.187,99,0.4,6075,0
"63","Africa",57.5,345.5865,81,2.73,1287,0
"64","Oceania",65.1,180.9535,89,0.17,3035,0
"65","Central America and Caribbean",74.8,148.5575,97,0.1,14400,0
"66","Asia",66.3,191.5375,82,0.17,643,0
"67","European Union",71.3,222.069,95,0.06,9766,1
"68","Oceania",68,168.7145,64,0.17,2519,0
"69","Asia",55.8,310.8305,62,0.02,148,0
"70","Middle East",74.6,64.969,99,0.13,33167,0
"71","Africa",61.9,260.375,96,1.8,1357,0
"72","European Union",78.7,86.3185,88,0.08,35034,1
"73","South America",75.9,118.5375,94,0.13,13568,0
"74","Central America and Caribbean",76.4,124.016,86,0.4,9894,0
"75","Middle East",76.9,89.1875,99,0.05,18445,0
"76","European Union",82.7,74.8905,83,0.1,36379,1
"77","Rest of Europe",76.2,101.667,88,0.08,4185,0
"78","Africa",60.9,227.5,61,0.45,1234,0
"79","Africa",53.3,331.401,42,0.13,265,0
"80","Asia",71.2,134.006,84,0.08,5153,0
"81","Asia",74.6,79.101,98,0.17,8535,0
"82","Rest of Europe",73.8,129.837,95,0.08,3313,0
"83","Africa",60.6,261.2595,94,1.06,1348,0
"84","Africa",52.7,337.337,42,0.13,237,0
"85","Rest of Europe",83.2,49.998,88,0.05,84348,1
"86","South America",74.5,131.475,88,0.15,11192,0
"87","Africa",54.6,287.62,83,2.41,586,0
"88","Oceania",67.4,228.169,81,0.17,1939,0
"89","Africa",50,344.252,69,1.07,351,0
"90","Africa",56.7,412.4735,83,5.85,4147,0
"91","Rest of Europe",65.5,317.967,96,0.08,6857,0
"92","Asia",81.8,70.306,83,0.17,31830,1
"93","Africa",61.2,223.7,61,0.4,1307,0
"94","Africa",43.3,579.801,92,18.67,3175,0
"95","Africa",51.3,372.383,46,0.73,2464,0
"96","Middle East",74.8,92.432,92,0.13,56815,0
"97","Africa",53.4,346.6695,87,0.83,296,0
"98","Asia",66.8,155.062,88,0.07,662,0
"99","Central America and Caribbean",70.7,171.706,93,0.53,1790,0
"100","South America",75,151.1495,92,0.19,4992,0
"101","Africa",59.3,277.4475,97,1.29,733,0
"102","Africa",65.5,218.4575,69,0.24,467,0
"103","Rest of Europe",81,58.787,88,0.03,43764,1
"104","Africa",69.8,140.5375,92,0.06,1905,0
"105","Asia",65.6,166.204,74,0.13,1246,0
"106","South America",67.5,204.4305,93,0.18,2455,0
"107","Asia",63.9,214.084,80,0.3,760,0
"108","Asia",73.7,129.376,95,0.2,7531,0
"109","European Union",72.2,159.0955,99,0.04,6846,1
"110","Central America and Caribbean",71.6,173.0485,81,0.59,5410,0
"111","Rest of Europe",82.3,53.897,88,0.04,74356,1
"112","European Union",80.8,64.2915,96,0.09,33258,1
"113","Asia",75.1,124.547,97,0.12,2582,0
"114","Rest of Europe",75.6,82.6975,98,0.03,3045,0
"115","Middle East",76.4,92.6785,98,0.05,19654,0
"116","European Union",75.2,121.6575,92,0.08,12735,1
"117","Oceania",69.8,155.0705,88,0.17,3952,0
"118","Africa",52.5,420.18,71,2.41,2080,0
"119","European Union",79.4,86.192,88,0.02,20613,1
"120","Africa",58,321.9725,70,3.6,7867,0
"121","Africa",60.8,309.5495,86,4.77,1341,0
"122","Africa",55.4,434.821,90,14.3,3680,0
"123","Africa",53.5,331.9545,81,2.97,506,0
"124","Central America and Caribbean",73,163.0145,89,0.4,6547,0
"125","Africa",68.8,174.899,99,0.13,2652,0
"126","Oceania",63.2,227.218,67,0.4,2565,0
"127","European Union",76.5,94.6415,95,0.04,41623,1
"128","Asia",68.4,227.3425,91,0.16,2235,0
"129","Africa",59.5,270.665,71,0.02,1188,0
"130","South America",79.5,90.433,95,0.19,13367,0
"131","Middle East",74.4,115.127,83,0.13,1550,0
"132","Asia",66,198.62,92,0.19,855,0
"133","Rest of Europe",72.7,145.094,89,0.01,4162,0
"134","European Union",78.1,95.81,60,0.08,36393,1
"135","Central America and Caribbean",69.7,190.602,97,1.48,4830,0
"136","Central America and Caribbean",77.5,98.9985,89,0.13,7678,0
"137","European Union",72.6,155.9065,99,0.04,7450,1
"138","Central America and Caribbean",78.2,96.542,95,0.15,6501,0
"139","Central America and Caribbean",74.3,147.875,97,0.06,2256,0
"140","Central America and Caribbean",71.2,184.093,89,0.4,18076,0
"141","Africa",51.2,528.2495,91,13.43,4860,0
"142","Central America and Caribbean",71.3,173.295,99,0.4,6465,0
"143","South America",64.2,227.5185,80,0.2,2083,0
"144","South America",71,166.295,89,0.18,3725,0
"145","Central America and Caribbean",72.8,160.15,96,0.34,31689,0
"146","Central America and Caribbean",78,96.3765,89,0.15,8395,0
"147","European Union",78.8,62.98,86,0.08,16860,1
"148","Africa",45.1,570.551,79,9.54,294,0
"149","European Union",79.2,94.799,88,0.08,44074,1
"150","Rest of Europe",74.3,126.1335,90,0.03,5798,0
"151","Africa",69.3,171.3545,97,0.13,2759,0
"152","Middle East",76.3,74.296,94,0.13,32535,0
"153","Rest of Europe",81.2,64.745,88,0.03,50732,1
"154","Asia",75.1,124.668,96,0.15,9179,0
"155","Central America and Caribbean",74.4,152.267,99,0.1,13171,0
"156","Africa",44.1,551.1775,45,3.64,477,0
"157","Oceania",68,154.7555,82,0.09,1287,0
"158","Rest of Europe",74.3,127.7695,89,0.02,5206,0
"159","European Union",72.2,185.7405,88,0.08,9357,1
"160","Asia",73.6,129.6545,96,0.21,7275,0
"161","Africa",67.3,248.595,95,5.81,6403,0
"162","Africa",48.5,404.29,27,0.96,676,0
"163","Africa",45.5,591.4675,64,8.06,271,0
"164","Africa",51,410.143,91,0.94,627,0
"165","Africa",52.1,302.4025,83,0.76,688,0
"166","Asia",68.6,147.641,95,0.01,856,0
"167","European Union",74.5,160.237,94,0.29,13786,1
"168","Africa",47.7,350.8275,67,1.39,2031,0
"169","Central America and Caribbean",74.1,162.465,98,0.83,5083,0
"170","Africa",48.5,521.085,82,7.69,918,0
"171","Asia",68.2,223.718,99,0.04,742,0
"172","Africa",44.6,687.993,79,12.86,1697,0
"173","Asia",72.4,105.496,75,0.1,2797,0
"174","Asia",69.5,154.604,91,0.17,902,0
"175","Africa",48.3,407.207,27,1.04,598,0
"176","Asia",63,231.978,62,0.03,565,0
"177","Central America and Caribbean",76.9,109.7575,98,0.12,4222,0
"178","Africa",62.3,255.4665,97,2.12,920,0
"179","South America",75.7,127.577,87,0.16,6084,0
"180","Africa",60.7,265.328,87,0.39,1452,0
"181","European Union",76.9,117.617,88,0.03,17803,1
"182","Central America and Caribbean",73.1,168.877,83,0.4,7578,0
"183","Africa",59.3,260.0235,81,0.35,497,0
"184","Central America and Caribbean",77.1,108.1925,98,0.13,4269,0
"185","Asia",77,72.3455,99,0.17,8955,0
"186","Africa",49.8,453.5475,67,2.65,1583,0
"187","Africa",46.5,408.9835,29,1.29,1499,0
"188","Central America and Caribbean",71.9,166.1845,97,0.12,1709,0
"189","Central America and Caribbean",73.1,163.5385,91,0.4,8195,0
"190","Middle East",68.1,187.6105,56,0.13,3627,0
